year,month,rank_ME,rank_IA,rank_ROE,nstocks,ret_vw,retx_vw
1967,1,1,1,1,46,17.2062,17.0241
1967,1,1,1,2,14,11.1319,11.1319
1967,1,1,1,3,10,12.6761,12.6334
1967,1,1,2,1,20,13.4091,13.2154
1967,1,1,2,2,31,13.3693,13.2445
1967,1,1,2,3,20,18.4505,18.2611
1967,1,1,3,1,19,12.9631,12.8667
1967,1,1,3,2,17,15.8637,15.8070
1967,1,1,3,3,39,22.4128,22.2447
1967,1,2,1,1,47,9.6566,9.2741
1967,1,2,1,2,51,3.4789,3.2765
1967,1,2,1,3,12,10.7050,10.6512
1967,1,2,2,1,43,5.6550,5.4614
1967,1,2,2,2,83,6.3461,6.0857
1967,1,2,2,3,47,9.1583,9.1269
1967,1,2,3,1,17,12.7805,12.6233
1967,1,2,3,2,46,8.8369,8.7160
1967,1,2,3,3,61,9.5558,9.4806
1967,2,1,1,1,42,2.1763,1.7360
1967,2,1,1,2,18,2.5606,1.8369
1967,2,1,1,3,13,3.7352,3.4082
1967,2,1,2,1,29,-0.5539,-1.0984
1967,2,1,2,2,29,3.6106,3.2186
1967,2,1,2,3,18,3.9914,3.7153
1967,2,1,3,1,21,-1.5921,-2.2383
1967,2,1,3,2,21,-0.8966,-1.3007
1967,2,1,3,3,37,5.1327,4.9636
1967,2,2,1,1,45,-0.4983,-1.1087
1967,2,2,1,2,47,-1.8645,-2.6172
1967,2,2,1,3,20,-0.6215,-0.9678
1967,2,2,2,1,42,-1.6000,-2.4847
1967,2,2,2,2,84,-0.5604,-0.9619
1967,2,2,2,3,48,4.1045,3.8171
1967,2,2,3,1,18,-0.0309,-0.4729
1967,2,2,3,2,54,1.8252,1.4749
1967,2,2,3,3,52,2.7983,2.6279
1967,3,1,1,1,43,5.8795,5.4811
1967,3,1,1,2,16,3.1344,3.0125
1967,3,1,1,3,19,11.7186,11.3897
1967,3,1,2,1,33,4.0928,3.8028
1967,3,1,2,2,27,6.7816,6.5544
1967,3,1,2,3,22,5.8860,5.5047
1967,3,1,3,1,23,5.7613,5.5926
1967,3,1,3,2,20,8.9957,8.7479
1967,3,1,3,3,40,9.3333,9.1197
1967,3,2,1,1,41,3.9320,3.6960
1967,3,2,1,2,49,3.5371,3.3783
1967,3,2,1,3,22,5.6657,5.4946
1967,3,2,2,1,46,4.3985,4.3247
1967,3,2,2,2,84,2.2102,2.0801
1967,3,2,2,3,44,4.1477,3.9995
1967,3,2,3,1,18,8.5607,8.4184
1967,3,2,3,2,55,4.3557,4.1375
1967,3,2,3,3,50,6.9235,6.7372
